Lon (deg),Lat (deg),Alt (m),Timestamp (ms UTC Unix),Time,Position Source,SEE_label
-53.71837573,79.69517316,617150.4375,1527486385447,2018-05-28 5:46:25,TLE,0
-53.71837573,79.69517316,617150.4375,1527486385447,2018-05-28 5:46:25,TLE,1
-24.78055127,82.16016794,617444.375,1527486303841,2018-05-28 5:45:03,TLE,0
-38.13326443,-19.8800115,596665.2632,1527470646745,2018-05-28 1:24:06,onboard,0
-45.49169888,-80.72313754,599915.0229,1527442867944,2018-05-27 17:41:07,onboard,0
-64.63983614,-39.30980035,602378.1987,1527389777008,2018-05-27 2:56:17,onboard,0
-63.86383999,-36.60082097,588964.2579,1527389732796,2018-05-27 2:55:32,onboard,0
-63.86383999,-36.60082097,588964.2579,1527389732796,2018-05-27 2:55:32,onboard,0
-39.73579086,-36.72491632,589059.3154,1527383935948,2018-05-27 1:18:55,onboard,0
30.07408488,52.08332262,,1527370896476,2018-05-26 21:41:36,onboard,0
-51.12645398,-16.64391819,596223.6848,1527345378319,2018-05-26 14:36:18,onboard,0
-49.40028513,-24.51455342,597155.2803,1527345250885,2018-05-26 14:34:10,onboard,0
132.4270645,-72.16339577,610259.0915,1527338136490,2018-05-26 12:35:36,onboard,0
-69.5478874,-31.06770072,598476.3937,1527263959048,2018-05-25 15:59:19,onboard,0
-48.98924363,-15.12063821,595966.2104,1527258418483,2018-05-25 14:26:58,onboard,0
-34.62146698,-35.96519356,601763.4352,1527209954770,2018-05-25 0:59:14,onboard,0
-68.21580123,-26.39062782,596430.3714,1527177050467,2018-05-24 15:50:50,onboard,0
-65.44555616,-37.32267606,599612.3168,1527176872783,2018-05-24 15:47:52,onboard,0
-46.47826669,-15.37108081,594482.0643,1527171429904,2018-05-24 14:17:09,onboard,0
-44.50935302,-24.42694089,584573.5486,1527171283377,2018-05-24 14:14:43,onboard,0
-83.01933146,52.90708252,608268.4737,1527138923782,2018-05-24 5:15:23,onboard,0
-55.03032313,-30.97314382,601324.3916,1527128687857,2018-05-24 2:24:47,onboard,0
-55.03032313,-30.97314382,601324.3916,1527128687857,2018-05-24 2:24:47,onboard,0
-63.06522123,-37.04189814,599155.3703,1527089892847,2018-05-23 15:38:12,onboard,0
-15.95324603,-32.45165521,597429.325,1527078369719,2018-05-23 12:26:09,onboard,0
-77.00866874,-32.06432119,603165.0565,1527047520037,2018-05-23 3:52:00,onboard,0
-76.16238704,-28.66517927,588863.4763,1527047464762,2018-05-23 3:51:04,onboard,0
-73.76030873,-17.99182269,600768.1935,1527047291701,2018-05-23 3:48:11,onboard,0
-55.46701851,-41.52571198,604395.3111,1527041875363,2018-05-23 2:17:55,onboard,0
-29.5823872,-35.51798295,602035.2663,1527035978416,2018-05-23 0:39:38,onboard,0
-64.73251729,-20.01332761,595842.1068,1527003184663,2018-05-22 15:33:04,onboard,0
-62.28560175,-30.64451467,585132.7491,1527003012406,2018-05-22 15:30:12,onboard,0
-45.88786458,6.008109439,592683.0169,1526997805903,2018-05-22 14:03:25,onboard,0
-43.0418378,-8.177439064,594192.1448,1526997576964,2018-05-22 13:59:36,onboard,0
-74.94286038,-33.63665817,590641.0895,1526960561007,2018-05-22 3:42:41,onboard,0
-72.75030203,-60.7225803,606388.9998,1526921332841,2018-05-21 16:48:52,onboard,0
-72.75026394,-60.72263997,606388.9532,1526921332840,2018-05-21 16:48:52,onboard,0
-72.75026394,-60.72263997,606388.9532,1526921332840,2018-05-21 16:48:52,onboard,0
-64.59970719,-69.87868935,597446.8571,1526921176666,2018-05-21 16:46:16,onboard,0
134.6975289,74.25720321,613351.3899,1526918197039,2018-05-21 15:56:37,onboard,0
-61.77262453,-22.28837111,596414.4435,1526916163322,2018-05-21 15:22:43,onboard,0
179.0645432,24.21024181,589473.6398,1526901634639,2018-05-21 11:20:34,onboard,0
-47.45570768,-30.17224498,602792.9571,1526867721115,2018-05-21 1:55:21,onboard,0
-43.32838327,-11.55016913,599536.1616,1526867419213,2018-05-21 1:50:19,onboard,0
37.1139061,-61.83255146,610627.0607,1526845046507,2018-05-20 19:37:26,onboard,0
-84.62927419,-16.98474254,594373.1111,1526835063640,2018-05-20 16:51:03,onboard,0
-61.62158762,-11.4497932,591626.7763,1526829354035,2018-05-20 15:15:54,onboard,0
-61.62158762,-11.4497932,591626.7763,1526829354035,2018-05-20 15:15:54,onboard,0
-58.5597788,-25.62009249,594754.3946,1526829124895,2018-05-20 15:12:04,onboard,0
-136.875231,66.66566561,600474.3503,1526808150745,2018-05-20 9:22:30,onboard,0
-95.06900721,57.57908033,611159.3614,1526796706207,2018-05-20 6:11:46,onboard,0
111.9095524,82.40353956,613244.3639,1526767186141,2018-05-19 21:59:46,onboard,0
8.181940171,-82.44094888,612519.0724,1526746909462,2018-05-19 16:21:49,onboard,0
90.36991187,-57.78279461,611347.7253,1526746396109,2018-05-19 16:13:16,onboard,0
-57.52295769,-19.24741774,593291.0259,1526742243649,2018-05-19 15:04:03,onboard,0
-57.39569739,-19.8315159,594876.4692,1526742234202,2018-05-19 15:03:54,onboard,0
-56.73881847,-22.81363995,593852.9785,1526742185964,2018-05-19 15:03:05,onboard,0
-55.62047709,-27.70354934,583245.386,1526742106768,2018-05-19 15:01:46,onboard,0
-33.91794866,-16.63133375,593339.9258,1526736487016,2018-05-19 13:28:07,onboard,0
-32.39872005,-23.61801069,582127.9401,1526736374047,2018-05-19 13:26:14,onboard,0
-32.32530714,-23.91448408,595465.4739,1526736369223,2018-05-19 13:26:09,onboard,0
-85.80153074,81.69278517,613540.8821,1526720863480,2018-05-19 9:07:43,onboard,0
-64.1696861,64.1213334,613901.3802,1526703812450,2018-05-19 4:23:32,onboard,0
92.85295543,55.37000935,606646.8554,1526702861720,2018-05-19 4:07:41,onboard,0
-43.34766587,-33.41506824,592397.6367,1526693804860,2018-05-19 1:36:44,onboard,0
-21.06092876,55.73869655,612047.5187,1526692355047,2018-05-19 1:12:35,onboard,0
-56.80259344,-10.97060244,592516.6908,1526655392956,2018-05-18 14:56:32,onboard,0
-33.49172693,-6.769194084,592614.7289,1526649661843,2018-05-18 13:21:01,onboard,0
-30.15200573,-22.64745042,594650.8171,1526649405367,2018-05-18 13:16:45,onboard,0
-64.0571739,-29.44430967,591998.7377,1526612554630,2018-05-18 3:02:34,onboard,0
-39.08975635,-26.02083808,604516.4494,1526606700103,2018-05-18 1:25:00,onboard,0
39.72884091,-78.78627329,614840.1196,1526578600303,2018-05-17 17:36:40,onboard,0
-52.84824947,-18.12029077,593743.3657,1526568293027,2018-05-17 14:44:53,onboard,0
-65.82648747,-44.50205852,608133.4725,1526525815903,2018-05-17 2:56:55,onboard,0
-65.82630482,-44.50151004,608132.5325,1526525815894,2018-05-17 2:56:55,onboard,0
-61.76401623,-30.09001653,605187.6263,1526525580523,2018-05-17 2:53:00,onboard,0
-61.5583389,-29.25000488,603891.8273,1526525566859,2018-05-17 2:52:46,onboard,0
-61.48647457,-28.95311148,603807.7373,1526525562032,2018-05-17 2:52:42,onboard,0
-61.25000989,-27.96382627,604935.2652,1526525545952,2018-05-17 2:52:25,onboard,0
-60.32211079,-23.9671894,604868.4701,1526525481028,2018-05-17 2:51:21,onboard,0
-38.70693474,-34.43730929,606213.8978,1526519852427,2018-05-17 1:17:32,onboard,0
-36.26088116,-24.44270192,591543.9674,1526519689816,2018-05-17 1:14:49,onboard,0
-36.21575347,-24.24465314,591433.594,1526519686605,2018-05-17 1:14:46,onboard,0
155.9618123,77.50489895,612742.3644,1526483210728,2018-05-16 15:06:50,onboard,0
-51.34279508,-13.61631173,578844.4666,1526481381226,2018-05-16 14:36:21,onboard,0
-161.3977235,80.79033202,614590.5684,1526477335498,2018-05-16 13:28:55,onboard,0
-73.16446181,77.79639864,612781.1038,1526477094298,2018-05-16 13:24:54,onboard,0
-24.50225069,-25.87044099,593203.2679,1526475384190,2018-05-16 12:56:24,onboard,0
